from_surface,agassiz77,agassiz79a,agassiz79b,agassiz84,camp_century,camp_vi,devon_00,devon_71,devon_72,dye_3,flade_isblink,foxx1,foxx2,gisp2,grip,gull,h2015_s1a,h2015_s1b,h2015_s2a,h2015_s3a,h2015_s3b,h2015_s3c,h2015_s4a,h2015_s4b,h2015_s4c,h2015_s5a,h2015_s5b,hanstausen_dome,hanstausen_hare,isua_10,isua_11,isua_12,isua_13,isua_14,jakobshavn_center,jakobshavn_left,jakobshavn_sheet,m2020_14n,m2020_14sa,m2020_14sb,m2020_14w,m2020_15ca,m2020_15cb,m2020_15e,m2020_15n,m2020_15s,meighan,neem,ngrip,penny,pow,renland,site_ii,td1,td2,td3,td41,td42,td51,td52,tuto_ramp
1962,,,,,,,,,,-13.8703,,,,-30.3040,-30.2031,,,,,,,,,,,,,,,,,,,,-11.4344,,,,,,,,,,,,,-18.3813,-28.7464,,,,,,,,,,,,
1963,,,,,,,,,,-13.8591,,,,-30.2960,-30.1938,,,,,,,,,,,,,,,,,,,,-11.4160,,,,,,,,,,,,,-18.3547,-28.7342,,,,,,,,,,,,
1964,,,,,,,,,,-13.8480,,,,-30.2880,-30.1844,,,,,,,,,,,,,,,,,,,,-11.3975,,,,,,,,,,,,,-18.3281,-28.7219,,,,,,,,,,,,
1965,,,,,,,,,,-13.8369,,,,-30.2800,-30.1751,,,,,,,,,,,,,,,,,,,,-11.3791,,,,,,,,,,,,,-18.3015,-28.7097,,,,,,,,,,,,
1966,,,,,,,,,,-13.8257,,,,-30.2720,-30.1657,,,,,,,,,,,,,,,,,,,,-11.3602,,,,,,,,,,,,,-18.2749,-28.6975,,,,,,,,,,,,
1967,,,,,,,,,,-13.8146,,,,-30.2640,-30.1563,,,,,,,,,,,,,,,,,,,,-11.3412,,,,,,,,,,,,,-18.2484,-28.6853,,,,,,,,,,,,
1968,,,,,,,,,,-13.8036,,,,-30.2560,-30.1470,,,,,,,,,,,,,,,,,,,,-11.3223,,,,,,,,,,,,,-18.2218,-28.6730,,,,,,,,,,,,
1969,,,,,,,,,,-13.7927,,,,-30.2480,-30.1376,,,,,,,,,,,,,,,,,,,,-11.3034,,,,,,,,,,,,,-18.1952,-28.6608,,,,,,,,,,,,
1970,,,,,,,,,,-13.7817,,,,-30.2400,-30.1283,,,,,,,,,,,,,,,,,,,,-11.2844,,,,,,,,,,,,,-18.1686,-28.6486,,,,,,,,,,,,
1971,,,,,,,,,,-13.7707,,,,-30.2320,-30.1189,,,,,,,,,,,,,,,,,,,,-11.2655,,,,,,,,,,,,,-18.1420,-28.6363,,,,,,,,,,,,
1972,,,,,,,,,,-13.7597,,,,-30.2240,-30.1096,,,,,,,,,,,,,,,,,,,,-11.2466,,,,,,,,,,,,,-18.1154,-28.6241,,,,,,,,,,,,
1973,,,,,,,,,,-13.7487,,,,-30.2160,-30.1002,,,,,,,,,,,,,,,,,,,,-11.2276,,,,,,,,,,,,,-18.0888,-28.6119,,,,,,,,,,,,
1974,,,,,,,,,,-13.7378,,,,-30.2080,-30.0909,,,,,,,,,,,,,,,,,,,,-11.2087,,,,,,,,,,,,,-18.0622,-28.5996,,,,,,,,,,,,
1975,,,,,,,,,,-13.7268,,,,-30.2000,-30.0815,,,,,,,,,,,,,,,,,,,,-11.1898,,,,,,,,,,,,,-18.0330,-28.5874,,,,,,,,,,,,
1976,,,,,,,,,,-13.7158,,,,-30.1920,-30.0722,,,,,,,,,,,,,,,,,,,,-11.1708,,,,,,,,,,,,,-18.0039,-28.5752,,,,,,,,,,,,
1977,,,,,,,,,,-13.7048,,,,-30.1840,-30.0628,,,,,,,,,,,,,,,,,,,,-11.1519,,,,,,,,,,,,,-17.9747,-28.5630,,,,,,,,,,,,
1978,,,,,,,,,,-13.6938,,,,-30.1760,-30.0535,,,,,,,,,,,,,,,,,,,,-11.1330,,,,,,,,,,,,,-17.9456,-28.5507,,,,,,,,,,,,
1979,,,,,,,,,,-13.6828,,,,-30.1680,-30.0441,,,,,,,,,,,,,,,,,,,,-11.1140,,,,,,,,,,,,,-17.9165,-28.5385,,,,,,,,,,,,
1980,,,,,,,,,,-13.6719,,,,-30.1600,-30.0348,,,,,,,,,,,,,,,,,,,,-11.0951,,,,,,,,,,,,,-17.8873,-28.5263,,,,,,,,,,,,
1981,,,,,,,,,,-13.6609,,,,-30.1520,-30.0254,,,,,,,,,,,,,,,,,,,,-11.0762,,,,,,,,,,,,,-17.8582,-28.5140,,,,,,,,,,,,
1982,,,,,,,,,,-13.6494,,,,-30.1440,-30.0161,,,,,,,,,,,,,,,,,,,,-11.0573,,,,,,,,,,,,,-17.8290,-28.5018,,,,,,,,,,,,
1983,,,,,,,,,,-13.6379,,,,-30.1360,-30.0067,,,,,,,,,,,,,,,,,,,,-11.0383,,,,,,,,,,,,,-17.7999,-28.4896,,,,,,,,,,,,
1984,,,,,,,,,,-13.6265,,,,-30.1280,-29.9974,,,,,,,,,,,,,,,,,,,,-11.0194,,,,,,,,,,,,,-17.7707,-28.4773,,,,,,,,,,,,
1985,,,,,,,,,,-13.6150,,,,-30.1200,-29.9873,,,,,,,,,,,,,,,,,,,,-11.0005,,,,,,,,,,,,,-17.7416,-28.4651,,,,,,,,,,,,
1986,,,,,,,,,,-13.6035,,,,-30.1120,-29.9772,,,,,,,,,,,,,,,,,,,,-10.9815,,,,,,,,,,,,,-17.7125,-28.4529,,,,,,,,,,,,
1987,,,,,,,,,,-13.5920,,,,-30.1040,-29.9671,,,,,,,,,,,,,,,,,,,,-10.9626,,,,,,,,,,,,,-17.6833,-28.4407,,,,,,,,,,,,
1988,,,,,,,,,,-13.5805,,,,-30.0960,-29.9571,,,,,,,,,,,,,,,,,,,,-10.9437,,,,,,,,,,,,,-17.6542,-28.4284,,,,,,,,,,,,
1989,,,,,,,,,,-13.5691,,,,-30.0880,-29.9470,,,,,,,,,,,,,,,,,,,,-10.9247,,,,,,,,,,,,,-17.6250,-28.4162,,,,,,,,,,,,
1990,,,,,,,,,,-13.5576,,,,-30.0800,-29.9369,,,,,,,,,,,,,,,,,,,,-10.9058,,,,,,,,,,,,,-17.5959,-28.4040,,,,,,,,,,,,
1991,,,,,,,,,,-13.5461,,,,-30.0720,-29.9268,,,,,,,,,,,,,,,,,,,,-10.8869,,,,,,,,,,,,,-17.5667,-28.3917,,,,,,,,,,,,
1992,,,,,,,,,,-13.5346,,,,-30.0640,-29.9168,,,,,,,,,,,,,,,,,,,,-10.8679,,,,,,,,,,,,,-17.5376,-28.3795,,,,,,,,,,,,
1993,,,,,,,,,,-13.5232,,,,-30.0560,-29.9067,,,,,,,,,,,,,,,,,,,,-10.8490,,,,,,,,,,,,,-17.5084,-28.3673,,,,,,,,,,,,
1994,,,,,,,,,,-13.5117,,,,-30.0480,-29.8966,,,,,,,,,,,,,,,,,,,,-10.8301,,,,,,,,,,,,,-17.4793,-28.3550,,,,,,,,,,,,
1995,,,,,,,,,,-13.5040,,,,-30.0400,-29.8865,,,,,,,,,,,,,,,,,,,,-10.8111,,,,,,,,,,,,,-17.4502,-28.3428,,,,,,,,,,,,
1996,,,,,,,,,,-13.4963,,,,-30.0320,-29.8765,,,,,,,,,,,,,,,,,,,,-10.7922,,,,,,,,,,,,,-17.4210,-28.3306,,,,,,,,,,,,
1997,,,,,,,,,,-13.4886,,,,-30.0240,-29.8664,,,,,,,,,,,,,,,,,,,,-10.7733,,,,,,,,,,,,,-17.3919,-28.3184,,,,,,,,,,,,
1998,,,,,,,,,,-13.4809,,,,-30.0160,-29.8563,,,,,,,,,,,,,,,,,,,,-10.7543,,,,,,,,,,,,,-17.3627,-28.3061,,,,,,,,,,,,
1999,,,,,,,,,,-13.4733,,,,-30.0080,-29.8462,,,,,,,,,,,,,,,,,,,,-10.7354,,,,,,,,,,,,,-17.3336,-28.2939,,,,,,,,,,,,
2000,,,,,,,,,,-13.4656,,,,-30.0000,-29.8362,,,,,,,,,,,,,,,,,,,,-10.7165,,,,,,,,,,,,,-17.3044,-28.2817,,,,,,,,,,,,
2001,,,,,,,,,,-13.4579,,,,-29.9890,-29.8261,,,,,,,,,,,,,,,,,,,,-10.6975,,,,,,,,,,,,,-17.2753,-28.2694,,,,,,,,,,,,
2002,,,,,,,,,,-13.4502,,,,-29.9780,-29.8160,,,,,,,,,,,,,,,,,,,,-10.6786,,,,,,,,,,,,,-17.2461,-28.2572,,,,,,,,,,,,
2003,,,,,,,,,,-13.4425,,,,-29.9670,-29.8059,,,,,,,,,,,,,,,,,,,,-10.6597,,,,,,,,,,,,,-17.2170,-28.2450,,,,,,,,,,,,
2004,,,,,,,,,,-13.4348,,,,-29.9560,-29.7959,,,,,,,,,,,,,,,,,,,,-10.6407,,,,,,,,,,,,,-17.1879,-28.2327,,,,,,,,,,,,
2005,,,,,,,,,,-13.4271,,,,-29.9450,-29.7858,,,,,,,,,,,,,,,,,,,,-10.6218,,,,,,,,,,,,,-17.1587,-28.2205,,,,,,,,,,,,
2006,,,,,,,,,,-13.4195,,,,-29.9340,-29.7757,,,,,,,,,,,,,,,,,,,,-10.6029,,,,,,,,,,,,,-17.1296,-28.2083,,,,,,,,,,,,
2007,,,,,,,,,,-13.4118,,,,-29.9230,-29.7656,,,,,,,,,,,,,,,,,,,,-10.5839,,,,,,,,,,,,,-17.1004,-28.1961,,,,,,,,,,,,
2008,,,,,,,,,,-13.4041,,,,-29.9120,-29.7556,,,,,,,,,,,,,,,,,,,,-10.5650,,,,,,,,,,,,,-17.0713,-28.1838,,,,,,,,,,,,
2009,,,,,,,,,,-13.3964,,,,-29.9010,-29.7455,,,,,,,,,,,,,,,,,,,,-10.5461,,,,,,,,,,,,,-17.0421,-28.1716,,,,,,,,,,,,
2010,,,,,,,,,,-13.3887,,,,-29.8900,-29.7354,,,,,,,,,,,,,,,,,,,,-10.5272,,,,,,,,,,,,,-17.0130,-28.1577,,,,,,,,,,,,
2011,,,,,,,,,,-13.3810,,,,-29.8790,-29.7253,,,,,,,,,,,,,,,,,,,,-10.5082,,,,,,,,,,,,,-16.9839,-28.1439,,,,,,,,,,,,
2012,,,,,,,,,,-13.3733,,,,-29.8680,-29.7153,,,,,,,,,,,,,,,,,,,,-10.4893,,,,,,,,,,,,,-16.9547,-28.1300,,,,,,,,,,,,
2013,,,,,,,,,,-13.3657,,,,-29.8570,-29.7052,,,,,,,,,,,,,,,,,,,,-10.4704,,,,,,,,,,,,,-16.9256,-28.1161,,,,,,,,,,,,
2014,,,,,,,,,,-13.3580,,,,-29.8460,-29.6951,,,,,,,,,,,,,,,,,,,,-10.4514,,,,,,,,,,,,,-16.8964,-28.1022,,,,,,,,,,,,
2015,,,,,,,,,,-13.3494,,,,-29.8350,-29.6850,,,,,,,,,,,,,,,,,,,,-10.4325,,,,,,,,,,,,,-16.8673,-28.0884,,,,,,,,,,,,
2016,,,,,,,,,,-13.3409,,,,-29.8240,-29.6750,,,,,,,,,,,,,,,,,,,,-10.4136,,,,,,,,,,,,,-16.8381,-28.0745,,,,,,,,,,,,
2017,,,,,,,,,,-13.3323,,,,-29.8130,-29.6649,,,,,,,,,,,,,,,,,,,,-10.3946,,,,,,,,,,,,,-16.8090,-28.0606,,,,,,,,,,,,
2018,,,,,,,,,,-13.3238,,,,-29.8020,-29.6548,,,,,,,,,,,,,,,,,,,,-10.3757,,,,,,,,,,,,,-16.7798,-28.0467,,,,,,,,,,,,
2019,,,,,,,,,,-13.3152,,,,-29.7910,-29.6447,,,,,,,,,,,,,,,,,,,,-10.3568,,,,,,,,,,,,,-16.7555,-28.0329,,,,,,,,,,,,
2020,,,,,,,,,,-13.3067,,,,-29.7800,-29.6334,,,,,,,,,,,,,,,,,,,,-10.3378,,,,,,,,,,,,,-16.7312,-28.0190,,,,,,,,,,,,
2021,,,,,,,,,,-13.2981,,,,-29.7690,-29.6220,,,,,,,,,,,,,,,,,,,,-10.3189,,,,,,,,,,,,,-16.7068,-28.0051,,,,,,,,,,,,
2022,,,,,,,,,,-13.2896,,,,-29.7580,-29.6106,,,,,,,,,,,,,,,,,,,,-10.3000,,,,,,,,,,,,,-16.6825,-27.9913,,,,,,,,,,,,
2023,,,,,,,,,,-13.2810,,,,-29.7470,-29.5993,,,,,,,,,,,,,,,,,,,,-10.2810,,,,,,,,,,,,,-16.6582,-27.9774,,,,,,,,,,,,
2024,,,,,,,,,,-13.2725,,,,-29.7360,-29.5879,,,,,,,,,,,,,,,,,,,,-10.2621,,,,,,,,,,,,,-16.6339,-27.9635,,,,,,,,,,,,
2025,,,,,,,,,,-13.2639,,,,-29.7250,-29.5765,,,,,,,,,,,,,,,,,,,,-10.2432,,,,,,,,,,,,,-16.6095,-27.9496,,,,,,,,,,,,
2026,,,,,,,,,,-13.2554,,,,-29.7140,-29.5651,,,,,,,,,,,,,,,,,,,,-10.2242,,,,,,,,,,,,,-16.5852,-27.9358,,,,,,,,,,,,
2027,,,,,,,,,,-13.2469,,,,-29.7030,-29.5538,,,,,,,,,,,,,,,,,,,,-10.2053,,,,,,,,,,,,,-16.5609,-27.9219,,,,,,,,,,,,
2028,,,,,,,,,,-13.2383,,,,-29.6920,-29.5424,,,,,,,,,,,,,,,,,,,,-10.1864,,,,,,,,,,,,,-16.5365,-27.9080,,,,,,,,,,,,
2029,,,,,,,,,,-13.2298,,,,-29.6810,-29.5310,,,,,,,,,,,,,,,,,,,,-10.1674,,,,,,,,,,,,,-16.5122,-27.8941,,,,,,,,,,,,
2030,,,,,,,,,,-13.2212,,,,-29.6700,-29.5197,,,,,,,,,,,,,,,,,,,,-10.1485,,,,,,,,,,,,,-16.4879,-27.8803,,,,,,,,,,,,
2031,,,,,,,,,,,,,,-29.6590,-29.5083,,,,,,,,,,,,,,,,,,,,-10.1296,,,,,,,,,,,,,-16.4635,-27.8664,,,,,,,,,,,,
2032,,,,,,,,,,,,,,-29.6480,-29.4969,,,,,,,,,,,,,,,,,,,,-10.1106,,,,,,,,,,,,,-16.4392,-27.8525,,,,,,,,,,,,
2033,,,,,,,,,,,,,,-29.6370,-29.4855,,,,,,,,,,,,,,,,,,,,-10.0917,,,,,,,,,,,,,-16.4149,-27.8387,,,,,,,,,,,,
2034,,,,,,,,,,,,,,-29.6260,-29.4742,,,,,,,,,,,,,,,,,,,,-10.0728,,,,,,,,,,,,,-16.3905,-27.8248,,,,,,,,,,,,
2035,,,,,,,,,,,,,,-29.6150,-29.4628,,,,,,,,,,,,,,,,,,,,-10.0538,,,,,,,,,,,,,-16.3662,-27.8109,,,,,,,,,,,,
2036,,,,,,,,,,,,,,-29.6040,-29.4514,,,,,,,,,,,,,,,,,,,,-10.0349,,,,,,,,,,,,,-16.3419,-27.7970,,,,,,,,,,,,
2037,,,,,,,,,,,,,,-29.5930,-29.4401,,,,,,,,,,,,,,,,,,,,-10.0160,,,,,,,,,,,,,-16.3175,-27.7832,,,,,,,,,,,,
2038,,,,,,,,,,,,,,-29.5820,-29.4287,,,,,,,,,,,,,,,,,,,,-9.9971,,,,,,,,,,,,,-16.2932,-27.7693,,,,,,,,,,,,
2039,,,,,,,,,,,,,,-29.5710,-29.4173,,,,,,,,,,,,,,,,,,,,-9.9781,,,,,,,,,,,,,-16.2689,-27.7554,,,,,,,,,,,,
2040,,,,,,,,,,,,,,-29.5600,-29.4060,,,,,,,,,,,,,,,,,,,,-9.9592,,,,,,,,,,,,,-16.2445,-27.7415,,,,,,,,,,,,
2041,,,,,,,,,,,,,,-29.5490,-29.3946,,,,,,,,,,,,,,,,,,,,-9.9403,,,,,,,,,,,,,-16.2202,-27.7277,,,,,,,,,,,,
2042,,,,,,,,,,,,,,-29.5380,-29.3832,,,,,,,,,,,,,,,,,,,,-9.9213,,,,,,,,,,,,,-16.1959,-27.7138,,,,,,,,,,,,
2043,,,,,,,,,,,,,,-29.5270,-29.3718,,,,,,,,,,,,,,,,,,,,-9.9024,,,,,,,,,,,,,-16.1715,-27.6999,,,,,,,,,,,,
2044,,,,,,,,,,,,,,-29.5160,-29.3605,,,,,,,,,,,,,,,,,,,,-9.8835,,,,,,,,,,,,,-16.1472,-27.6861,,,,,,,,,,,,
2045,,,,,,,,,,,,,,-29.5050,-29.3491,,,,,,,,,,,,,,,,,,,,-9.8645,,,,,,,,,,,,,-16.1229,-27.6722,,,,,,,,,,,,
2046,,,,,,,,,,,,,,-29.4940,-29.3377,,,,,,,,,,,,,,,,,,,,-9.8456,,,,,,,,,,,,,-16.0985,-27.6583,,,,,,,,,,,,
2047,,,,,,,,,,,,,,-29.4830,-29.3264,,,,,,,,,,,,,,,,,,,,-9.8267,,,,,,,,,,,,,-16.0742,-27.6444,,,,,,,,,,,,
2048,,,,,,,,,,,,,,-29.4720,-29.3150,,,,,,,,,,,,,,,,,,,,-9.8077,,,,,,,,,,,,,-16.0499,-27.6306,,,,,,,,,,,,
2049,,,,,,,,,,,,,,-29.4610,-29.3036,,,,,,,,,,,,,,,,,,,,-9.7888,,,,,,,,,,,,,-16.0255,-27.6167,,,,,,,,,,,,
2050,,,,,,,,,,,,,,-29.4500,-29.2922,,,,,,,,,,,,,,,,,,,,-9.7699,,,,,,,,,,,,,-16.0012,-27.6028,,,,,,,,,,,,
2051,,,,,,,,,,,,,,-29.4390,-29.2805,,,,,,,,,,,,,,,,,,,,-9.7509,,,,,,,,,,,,,-15.9769,-27.5889,,,,,,,,,,,,
2052,,,,,,,,,,,,,,-29.4280,-29.2687,,,,,,,,,,,,,,,,,,,,-9.7320,,,,,,,,,,,,,-15.9525,-27.5751,,,,,,,,,,,,
2053,,,,,,,,,,,,,,-29.4170,-29.2570,,,,,,,,,,,,,,,,,,,,-9.7131,,,,,,,,,,,,,-15.9282,-27.5612,,,,,,,,,,,,
2054,,,,,,,,,,,,,,-29.4060,-29.2453,,,,,,,,,,,,,,,,,,,,-9.6941,,,,,,,,,,,,,-15.9039,-27.5473,,,,,,,,,,,,
2055,,,,,,,,,,,,,,-29.3950,-29.2335,,,,,,,,,,,,,,,,,,,,-9.6752,,,,,,,,,,,,,-15.8796,-27.5335,,,,,,,,,,,,
2056,,,,,,,,,,,,,,-29.3840,-29.2218,,,,,,,,,,,,,,,,,,,,-9.6563,,,,,,,,,,,,,-15.8552,-27.5196,,,,,,,,,,,,
2057,,,,,,,,,,,,,,-29.3730,-29.2100,,,,,,,,,,,,,,,,,,,,-9.6373,,,,,,,,,,,,,-15.8309,-27.5057,,,,,,,,,,,,
2058,,,,,,,,,,,,,,-29.3620,-29.1983,,,,,,,,,,,,,,,,,,,,-9.6184,,,,,,,,,,,,,-15.8066,-27.4918,,,,,,,,,,,,
2059,,,,,,,,,,,,,,-29.3510,-29.1865,,,,,,,,,,,,,,,,,,,,-9.5995,,,,,,,,,,,,,-15.7799,-27.4780,,,,,,,,,,,,
2060,,,,,,,,,,,,,,-29.3400,-29.1748,,,,,,,,,,,,,,,,,,,,-9.5805,,,,,,,,,,,,,-15.7533,-27.4641,,,,,,,,,,,,
2061,,,,,,,,,,,,,,-29.3290,-29.1630,,,,,,,,,,,,,,,,,,,,-9.5616,,,,,,,,,,,,,-15.7267,-27.4502,,,,,,,,,,,,
2062,,,,,,,,,,,,,,-29.3180,-29.1513,,,,,,,,,,,,,,,,,,,,-9.5427,,,,,,,,,,,,,-15.7001,-27.4363,,,,,,,,,,,,
2063,,,,,,,,,,,,,,-29.3070,-29.1395,,,,,,,,,,,,,,,,,,,,-9.5237,,,,,,,,,,,,,-15.6734,-27.4225,,,,,,,,,,,,
2064,,,,,,,,,,,,,,-29.2960,-29.1278,,,,,,,,,,,,,,,,,,,,-9.5048,,,,,,,,,,,,,-15.6468,-27.4086,,,,,,,,,,,,
2065,,,,,,,,,,,,,,-29.2850,-29.1160,,,,,,,,,,,,,,,,,,,,-9.4859,,,,,,,,,,,,,-15.6202,-27.3947,,,,,,,,,,,,
2066,,,,,,,,,,,,,,-29.2740,-29.1043,,,,,,,,,,,,,,,,,,,,-9.4670,,,,,,,,,,,,,-15.5936,-27.3809,,,,,,,,,,,,
2067,,,,,,,,,,,,,,-29.2630,-29.0925,,,,,,,,,,,,,,,,,,,,-9.4480,,,,,,,,,,,,,-15.5669,-27.3670,,,,,,,,,,,,
2068,,,,,,,,,,,,,,-29.2520,-29.0808,,,,,,,,,,,,,,,,,,,,-9.4278,,,,,,,,,,,,,-15.5403,-27.3531,,,,,,,,,,,,
2069,,,,,,,,,,,,,,-29.2410,-29.0690,,,,,,,,,,,,,,,,,,,,-9.4076,,,,,,,,,,,,,-15.5137,-27.3392,,,,,,,,,,,,
2070,,,,,,,,,,,,,,-29.2300,-29.0573,,,,,,,,,,,,,,,,,,,,-9.3874,,,,,,,,,,,,,-15.4871,-27.3254,,,,,,,,,,,,
2071,,,,,,,,,,,,,,-29.2190,-29.0455,,,,,,,,,,,,,,,,,,,,-9.3672,,,,,,,,,,,,,-15.4604,-27.3115,,,,,,,,,,,,
2072,,,,,,,,,,,,,,-29.2080,-29.0338,,,,,,,,,,,,,,,,,,,,-9.3470,,,,,,,,,,,,,-15.4338,-27.2976,,,,,,,,,,,,
2073,,,,,,,,,,,,,,-29.1970,-29.0220,,,,,,,,,,,,,,,,,,,,-9.3268,,,,,,,,,,,,,-15.4072,-27.2837,,,,,,,,,,,,
2074,,,,,,,,,,,,,,-29.1860,-29.0103,,,,,,,,,,,,,,,,,,,,-9.3066,,,,,,,,,,,,,-15.3806,-27.2699,,,,,,,,,,,,
2075,,,,,,,,,,,,,,-29.1750,-28.9985,,,,,,,,,,,,,,,,,,,,-9.2864,,,,,,,,,,,,,-15.3539,-27.2560,,,,,,,,,,,,
2076,,,,,,,,,,,,,,-29.1640,-28.9868,,,,,,,,,,,,,,,,,,,,-9.2662,,,,,,,,,,,,,-15.3273,-27.2421,,,,,,,,,,,,
2077,,,,,,,,,,,,,,-29.1530,-28.9750,,,,,,,,,,,,,,,,,,,,-9.2460,,,,,,,,,,,,,-15.3007,-27.2266,,,,,,,,,,,,
2078,,,,,,,,,,,,,,-29.1420,-28.9633,,,,,,,,,,,,,,,,,,,,-9.2258,,,,,,,,,,,,,-15.2741,-27.2111,,,,,,,,,,,,
2079,,,,,,,,,,,,,,-29.1310,-28.9515,,,,,,,,,,,,,,,,,,,,-9.2056,,,,,,,,,,,,,-15.2474,-27.1957,,,,,,,,,,,,
2080,,,,,,,,,,,,,,-29.1200,-28.9398,,,,,,,,,,,,,,,,,,,,-9.1854,,,,,,,,,,,,,-15.2208,-27.1802,,,,,,,,,,,,
2081,,,,,,,,,,,,,,-29.1090,-28.9276,,,,,,,,,,,,,,,,,,,,-9.1652,,,,,,,,,,,,,-15.1942,-27.1647,,,,,,,,,,,,
2082,,,,,,,,,,,,,,-29.0980,-28.9155,,,,,,,,,,,,,,,,,,,,-9.1450,,,,,,,,,,,,,-15.1676,-27.1492,,,,,,,,,,,,
2083,,,,,,,,,,,,,,-29.0870,-28.9033,,,,,,,,,,,,,,,,,,,,-9.1248,,,,,,,,,,,,,-15.1409,-27.1337,,,,,,,,,,,,
2084,,,,,,,,,,,,,,-29.0760,-28.8912,,,,,,,,,,,,,,,,,,,,-9.1046,,,,,,,,,,,,,-15.1143,-27.1182,,,,,,,,,,,,
2085,,,,,,,,,,,,,,-29.0650,-28.8790,,,,,,,,,,,,,,,,,,,,-9.0844,,,,,,,,,,,,,-15.0877,-27.1027,,,,,,,,,,,,
2086,,,,,,,,,,,,,,-29.0540,-28.8669,,,,,,,,,,,,,,,,,,,,-9.0642,,,,,,,,,,,,,-15.0611,-27.0872,,,,,,,,,,,,
2087,,,,,,,,,,,,,,-29.0430,-28.8547,,,,,,,,,,,,,,,,,,,,-9.0440,,,,,,,,,,,,,-15.0344,-27.0717,,,,,,,,,,,,
2088,,,,,,,,,,,,,,-29.0320,-28.8426,,,,,,,,,,,,,,,,,,,,-9.0238,,,,,,,,,,,,,-15.0078,-27.0562,,,,,,,,,,,,
2089,,,,,,,,,,,,,,-29.0210,-28.8304,,,,,,,,,,,,,,,,,,,,-9.0036,,,,,,,,,,,,,-14.9812,-27.0407,,,,,,,,,,,,
2090,,,,,,,,,,,,,,-29.0100,-28.8183,,,,,,,,,,,,,,,,,,,,-8.9834,,,,,,,,,,,,,-14.9546,-27.0253,,,,,,,,,,,,
2091,,,,,,,,,,,,,,-28.9990,-28.8061,,,,,,,,,,,,,,,,,,,,-8.9632,,,,,,,,,,,,,-14.9279,-27.0098,,,,,,,,,,,,
2092,,,,,,,,,,,,,,-28.9880,-28.7940,,,,,,,,,,,,,,,,,,,,-8.9430,,,,,,,,,,,,,-14.9013,-26.9943,,,,,,,,,,,,
2093,,,,,,,,,,,,,,-28.9770,-28.7818,,,,,,,,,,,,,,,,,,,,-8.9228,,,,,,,,,,,,,-14.8747,-26.9788,,,,,,,,,,,,
2094,,,,,,,,,,,,,,-28.9660,-28.7697,,,,,,,,,,,,,,,,,,,,-8.9026,,,,,,,,,,,,,-14.8481,-26.9633,,,,,,,,,,,,
2095,,,,,,,,,,,,,,-28.9550,-28.7575,,,,,,,,,,,,,,,,,,,,-8.8824,,,,,,,,,,,,,-14.8214,-26.9478,,,,,,,,,,,,
2096,,,,,,,,,,,,,,-28.9440,-28.7454,,,,,,,,,,,,,,,,,,,,-8.8621,,,,,,,,,,,,,-14.7948,-26.9323,,,,,,,,,,,,
2097,,,,,,,,,,,,,,-28.9330,-28.7332,,,,,,,,,,,,,,,,,,,,-8.8419,,,,,,,,,,,,,-14.7682,-26.9168,,,,,,,,,,,,
2098,,,,,,,,,,,,,,-28.9220,-28.7211,,,,,,,,,,,,,,,,,,,,-8.8217,,,,,,,,,,,,,-14.7416,-26.9013,,,,,,,,,,,,
2099,,,,,,,,,,,,,,-28.9110,-28.7089,,,,,,,,,,,,,,,,,,,,-8.8015,,,,,,,,,,,,,-14.7149,-26.8858,,,,,,,,,,,,
2100,,,,,,,,,,,,,,-28.9000,-28.6967,,,,,,,,,,,,,,,,,,,,-8.7813,,,,,,,,,,,,,-14.6883,-26.8703,,,,,,,,,,,,
2101,,,,,,,,,,,,,,-28.8860,-28.6846,,,,,,,,,,,,,,,,,,,,-8.7611,,,,,,,,,,,,,-14.6632,-26.8549,,,,,,,,,,,,
2102,,,,,,,,,,,,,,-28.8720,-28.6724,,,,,,,,,,,,,,,,,,,,-8.7409,,,,,,,,,,,,,-14.6382,-26.8394,,,,,,,,,,,,
2103,,,,,,,,,,,,,,-28.8580,-28.6603,,,,,,,,,,,,,,,,,,,,-8.7207,,,,,,,,,,,,,-14.6131,-26.8239,,,,,,,,,,,,
2104,,,,,,,,,,,,,,-28.8440,-28.6481,,,,,,,,,,,,,,,,,,,,-8.7005,,,,,,,,,,,,,-14.5881,-26.8084,,,,,,,,,,,,
2105,,,,,,,,,,,,,,-28.8300,-28.6360,,,,,,,,,,,,,,,,,,,,-8.6803,,,,,,,,,,,,,-14.5630,-26.7929,,,,,,,,,,,,
2106,,,,,,,,,,,,,,-28.8160,-28.6238,,,,,,,,,,,,,,,,,,,,-8.6601,,,,,,,,,,,,,-14.5380,-26.7774,,,,,,,,,,,,
2107,,,,,,,,,,,,,,-28.8020,-28.6117,,,,,,,,,,,,,,,,,,,,-8.6399,,,,,,,,,,,,,-14.5129,-26.7619,,,,,,,,,,,,
2108,,,,,,,,,,,,,,-28.7880,-28.5995,,,,,,,,,,,,,,,,,,,,-8.6197,,,,,,,,,,,,,-14.4879,-26.7464,,,,,,,,,,,,
2109,,,,,,,,,,,,,,-28.7740,-28.5874,,,,,,,,,,,,,,,,,,,,-8.5995,,,,,,,,,,,,,-14.4628,-26.7309,,,,,,,,,,,,
2110,,,,,,,,,,,,,,-28.7600,-28.5733,,,,,,,,,,,,,,,,,,,,-8.5793,,,,,,,,,,,,,-14.4378,-26.7154,,,,,,,,,,,,
